"block_id","conc1","conc2","ZIP_fit","ZIP_ref","ZIP_synergy","HSA_ref","HSA_synergy","Loewe_ref","Loewe_synergy","Bliss_ref","Bliss_synergy"
1,5000,0,90.9163323143421,90.9163323143421,0,90.9163323143421,0,90.9163323143421,0,90.9163323143421,0
1,1250,0,84.2085154723702,84.2085154723702,0,84.2085154723702,0,84.2085154723702,0,84.2085154723702,0
1,312.5,0,68.2053660882253,68.2053660882253,0,68.2053660882253,0,68.2053660882253,0,68.2053660882253,0
1,78.13,0,43.6244839696753,43.6244839696753,0,43.6244839696753,0,43.6244839696753,0,43.6244839696753,0
1,19.53,0,21.9865206661563,21.9865206661563,0,21.9865206661563,0,21.9865206661563,0,21.9865206661563,0
1,4.88,0,8.52597340161241,8.52597340161241,0,8.52597340161241,0,8.52597340161241,0,8.52597340161241,0
1,1.22,0,2.68200487709208,2.68200487709208,0,2.68200487709208,0,2.68200487709208,0,2.68200487709208,0
1,0,0,0.251255663656069,0.251255663656069,0,0.251255663656069,0,0.251255663656069,0,0.251255663656069,0
1,5000,1.22,90.9604414326224,91.4902136551652,-0.529772222542775,90.9163323143421,-0.030943987456439,91.5760029484515,-0.690614621565771,91.3193275639221,-0.433939237036412
1,1250,1.22,84.114555858191,84.6680567320391,-0.553500873848179,84.2085154723702,0.032041118170298,84.4534631249091,-0.212906534368599,84.9091017849341,-0.668545194393545
1,312.5,1.22,68.6296925198685,69.6459693362541,-1.01627681638551,68.2053660882253,0.408467257825023,68.1733720996694,0.440461246380906,69.6159291858615,-1.00209583981119
1,78.13,1.22,45.2309245377865,46.5075964046472,-1.27667186686075,43.6244839696753,1.4221218075128,43.7532355618099,1.29337021537825,46.1255733907152,-1.07896761352704
1,19.53,1.22,24.4514107296404,25.0543821603852,-0.602971430744816,21.9865206661563,2.66354347457862,22.3856160911828,2.26444804955218,25.4475743575395,-0.797510216804564
1,4.88,1.22,12.2108410760099,12.7255506430961,-0.514709567086156,8.52597340161241,3.56208651186645,10.175547822253,1.91251209122587,12.5842018017228,-0.496141888243971
1,1.22,1.22,7.00739611242869,7.49043595818467,-0.483039845755979,4.43648164514272,2.22980643348994,6.10552506594307,0.560763012689579,6.99949986814078,-0.333211789508128
1,0,1.22,4.43648164514272,4.43648164514272,0,4.43648164514272,0,4.43648164514272,0,4.43648164514272,0
1,5000,4.88,90.9365852679743,91.8930189550164,-0.956433687042136,90.9163323143421,-0.0664140932573645,91.5760029484515,-0.726084727366697,91.729404656952,-0.879486435867264
1,1250,4.88,84.146035715242,85.3937844712674,-1.24774875602539,84.2085154723702,0.0708698910615055,84.4534631249091,-0.174077761477392,85.6219995145529,-1.34261415112118
1,312.5,4.88,69.0857942321069,71.0827579849637,-1.9969637528568,68.2053660882253,0.873602817860501,68.1733720996694,0.905596806416384,71.0512801365658,-1.97231123048005
1,78.13,4.88,46.7891104632898,49.0396251532969,-2.25051469000712,43.6244839696753,3.0012044492919,44.7707412508874,1.85494716807987,48.6706145053608,-2.04492608639361
1,19.53,4.88,27.3647370739435,28.6018850991334,-1.2371480251899,21.9865206661563,5.57496583510549,23.4031217802602,4.15836472100157,28.9694492135389,-1.40796271227711
1,4.88,4.88,16.0632246032855,16.8566309449999,-0.793406341714405,8.95092566952501,6.9993358357379,13.2280648894854,2.72219661577746,16.7137455293556,-0.763484024092714
1,1.22,4.88,11.2882243620714,11.8693170690584,-0.581092706987002,8.95092566952501,2.02083994724313,10.175547822253,0.796217794515137,11.3928662836155,-0.42110066684741
1,0,4.88,8.95092566952501,8.95092566952501,0,8.95092566952501,0,8.95092566952501,0,8.95092566952501,0
1,5000,19.53,90.8893073550587,92.6374512230858,-1.74814386802713,90.9163323143421,-0.139300951787973,91.5760029484515,-0.798971585897306,92.4972068732142,-1.72017551066007
1,1250,19.53,84.2224920378676,86.7350159474028,-2.51252390953523,84.2085154723702,0.158310916411281,84.4534631249091,-0.0866367361276161,86.9567837931024,-2.5899574043209
1,312.5,19.53,70.0230728335489,73.7381148854076,-3.7150420518587,68.2053660882253,1.82241352803443,68.1733720996694,1.85440751659031,73.7387397869502,-3.71096017069046
